section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,47547
analyzeCount,1,47548
axleTravelRatio,1,-37.62633295179727
compressionSpeedRatio,1,-29.870657280108663
reboundSpeedRatio,1,-39.422895356781964
section,forkResults
movingCount,1,47547
filterRatio,1,59
timeComp,1,9389
timeReb,1,18887
axleMin,1,20.137500000000003
axleMax,1,156.2775
axleAvg,1,63.09507822360089
axleMovingAvg,1,63.37338111580193
segments,1,1
maxCompressionSpeed,1,3660.300000000001
avgCompressionSpeed,1,953.0762681159422
compressionSpeed95,1,2370.149999999999
maxReboundSpeed,1,1740.6
avgReboundSpeed,1,593.6481042654026
reboundSpeed95,1,1035.6499999999992
axleTravelTotal,1,66088.75499999363
totalTravelComp,1,19274.47500000001
totalTravelReb,1,28190.503749999985
histogramLPS,42,20,160.0,0,0,479,3904,3168,4771,7518,5884,5704,5187,4001,3022,1932,1143,556,196,33,17,23,2,0,0,479,3904,3168,4771,7517,5885,5704,5187,4001,3022,1932,1143,556,196,33,17,23,2
gforceTotalComp,1,16983.764209220175
gforceTotalReb,1,28541.079762345365
gforceMin,1,-16.0
gforceMax,1,12.11
gforceAbsTotal,1,73803.34690165667
gforceTotalFlat,1,28278.50293009113
travelToForceRatioComp,1,1.1348765069133644
travelToForceRatioReb,1,0.987716792242461
travelToForceRatioAll,1,0.8954709748875919
vibrationCompression,1,1.808900224648011
vibrationRebound,1,1.5111494553049911
vibrationOverall,1,1.552186146665615
forceBreakdownTable,9,2.615849063408544,72.9374141551076,46.70284032358141,78.2481176066243,26.981951448466923,46.10760684850907,19.136033329967148,0.08063439642547426,7.18955282790952
invalidSamples,1,8
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
20170,20180,23.21,105.61,3.92,3022.60,3169.00,68.89
20191,20203,52.15,72.16,5.92,463.95,517.50,68.03
20204,20214,72.15,97.62,3.20,1011.15,1098.00,83.59
20269,20283,28.35,64.84,1.30,1120.90,1213.00,42.75
20301,20314,42.81,109.41,2.79,1970.50,2161.00,64.84
20433,20443,51.60,119.06,2.94,2487.30,2622.00,85.54
20519,20531,90.89,102.66,2.28,404.40,439.50,99.04
20821,20834,52.29,68.33,1.04,434.35,454.00,59.22
20899,20916,67.48,101.25,2.57,871.65,945.00,76.35
21064,21089,33.42,120.37,2.11,1878.40,1975.00,68.11
21126,21144,87.86,107.16,2.92,555.65,603.50,95.54
21184,21211,89.09,101.34,1.23,190.00,200.50,92.87
21371,21425,57.67,104.75,0.70,444.90,454.50,91.39
21521,21556,48.75,80.16,0.40,378.10,403.00,76.05
21557,21570,80.16,91.46,0.62,261.85,283.00,83.18
21572,21584,91.27,105.55,1.50,589.55,642.50,99.37
21708,21725,24.01,98.06,2.10,2175.30,2307.00,55.37
21756,21769,58.44,93.61,2.67,790.60,847.00,66.73
21800,21817,67.91,98.91,2.65,801.50,869.00,78.64
21826,21837,72.81,100.86,1.38,949.70,1043.00,80.38
21882,21912,94.29,111.02,1.09,303.30,315.00,101.53
21967,21979,70.97,84.89,3.40,451.75,512.50,76.05
22030,22055,28.52,100.34,2.30,2459.60,2639.00,60.62
22083,22099,96.32,109.05,2.14,507.65,566.00,100.47
22155,22184,33.43,90.11,1.05,1176.30,1228.50,48.92
22373,22388,56.17,94.08,2.40,1148.95,1228.00,67.20
22417,22427,27.58,58.44,2.31,1090.35,1140.00,42.65
22467,22482,48.87,111.81,3.95,2326.70,2526.50,69.62
22584,22606,48.97,81.25,1.55,801.10,862.00,58.73
22775,22791,78.06,115.23,5.09,1164.95,1242.50,91.37
22907,22922,55.97,97.63,2.42,1582.65,1726.50,76.73
22936,22950,67.84,115.91,3.81,1007.15,1047.50,101.38
22980,23003,54.66,81.14,1.17,810.15,879.00,62.04
23009,23021,77.98,101.43,1.40,705.35,732.50,89.47
23169,23185,23.20,102.31,4.71,2379.10,2590.00,47.54
23203,23216,47.79,96.54,2.87,1048.55,1094.00,60.47
23293,23308,74.04,89.74,2.17,397.20,420.00,79.62
23524,23537,54.16,71.42,2.33,482.25,510.00,59.86
23562,23580,55.84,76.80,0.79,478.05,517.50,60.60
23624,23635,53.68,88.13,1.48,1084.20,1143.00,66.00
23666,23679,55.31,81.67,1.11,930.00,988.50,68.43
23711,23725,31.96,76.43,1.77,1469.55,1572.00,52.05
23774,23788,53.52,111.22,1.83,1750.35,1836.00,78.15
23887,23906,66.94,113.12,2.42,1075.20,1120.50,95.21
23977,24003,77.82,114.36,0.52,615.55,622.00,97.17
24050,24074,42.19,58.06,0.82,191.30,200.00,45.26
24092,24108,45.03,74.64,1.11,632.95,652.00,64.21
24182,24203,37.87,64.94,0.71,457.05,474.00,57.12
24260,24281,38.17,76.75,1.61,899.80,982.00,47.11
24328,24342,47.47,92.74,1.09,1037.20,1057.00,72.02
24437,24450,54.00,81.41,2.00,826.80,895.50,74.49
24473,24484,33.92,80.40,3.19,1597.55,1709.00,53.11
24511,24534,52.04,95.98,1.73,756.10,784.00,80.91
24671,24691,41.91,97.62,2.30,1353.60,1408.50,61.58
24767,24782,34.25,82.93,1.38,1265.65,1301.50,58.32
24888,24923,37.99,69.93,1.23,483.80,522.50,43.14
24960,24976,45.21,71.97,1.01,622.05,637.50,57.18
25000,25021,63.30,74.56,1.12,311.70,334.50,67.06
25052,25066,26.15,74.83,1.63,995.05,1030.00,39.07
25090,25109,26.31,102.30,2.68,2433.30,2626.50,50.19
25128,25148,59.80,110.37,2.97,1135.30,1181.50,95.31
25386,25408,49.32,75.81,1.88,516.85,539.50,67.92
25432,25457,53.22,84.92,0.76,499.05,537.00,60.86
25538,25551,25.03,85.75,2.26,2169.75,2353.50,51.86
25562,25580,63.52,109.06,3.17,1136.10,1186.50,77.74
25631,25654,40.14,90.41,2.29,1008.60,1069.50,56.30
25699,25721,50.33,74.32,1.74,421.25,441.50,55.46
25785,25812,53.78,79.98,1.34,653.50,683.50,67.16
25889,25921,37.15,80.18,1.06,630.95,654.50,60.96
25961,25974,66.69,79.12,1.41,463.60,496.00,72.51
26048,26062,33.61,85.93,1.72,1003.40,1050.50,72.74
26128,26142,28.91,54.80,1.93,702.10,764.50,47.80
26171,26183,59.38,108.46,3.22,1206.45,1318.50,70.41
26249,26261,35.49,55.84,1.32,654.90,688.50,45.44
26273,26296,38.78,59.66,1.40,398.00,429.50,54.44
26306,26316,55.01,90.67,2.64,1263.05,1328.00,71.45
26349,26361,63.53,75.37,1.06,365.45,386.00,68.00
26496,26515,24.11,115.25,3.08,1996.00,2146.00,43.99
26571,26581,44.67,56.80,1.51,461.50,527.50,49.04
26629,26646,27.21,99.80,1.47,1710.95,1802.00,47.22
26706,26716,70.69,81.94,1.89,461.75,498.50,75.48
26723,26740,77.27,96.67,1.17,766.15,827.50,87.19
26778,26799,41.42,80.36,1.57,788.25,828.00,50.90
26882,26899,29.63,109.56,4.12,2669.45,2844.50,67.33
26913,26923,83.85,102.11,1.93,686.30,725.00,93.97
26995,27005,36.97,49.02,0.81,380.80,395.50,42.91
27042,27083,39.66,78.47,0.54,451.85,476.00,54.26
27113,27126,27.14,80.70,2.30,1739.10,1828.50,48.83
27186,27218,35.34,86.44,1.42,600.10,625.00,58.39
27253,27283,47.95,102.20,1.67,714.70,730.00,84.59
27373,27387,43.83,63.50,1.54,500.35,535.00,57.85
27433,27446,58.95,70.30,0.68,422.95,449.50,64.02
27500,27520,38.79,72.64,0.67,578.80,601.00,50.59
27561,27574,32.48,74.20,1.76,1369.80,1467.00,47.25
27578,27591,73.18,106.28,2.40,833.30,852.50,89.44
27622,27644,59.92,92.52,2.04,750.50,776.00,72.53
27679,27694,30.14,63.18,1.94,693.70,710.50,39.40
27726,27740,63.85,93.38,1.13,875.85,913.50,77.78
27793,27804,29.49,48.26,1.15,678.05,725.00,37.22
27937,27954,72.19,107.06,2.12,1171.45,1231.00,88.10
28038,28057,30.27,87.13,2.29,1579.50,1696.50,48.18
