section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,64079
analyzeCount,1,64080
axleTravelRatio,1,-22.32545092214425
compressionSpeedRatio,1,-25.630500895742074
reboundSpeedRatio,1,-19.31014112303949
section,forkResults
movingCount,1,64075
filterRatio,1,38
timeComp,1,8819
timeReb,1,15900
axleMin,1,47.11
axleMax,1,159.76749999999998
axleAvg,1,90.30179748761184
axleMovingAvg,1,93.1509408380908
segments,1,5
maxCompressionSpeed,1,3292.75
avgCompressionSpeed,1,908.3644814090021
compressionSpeed95,1,2090.9500000000003
maxReboundSpeed,1,1613.8499999999995
avgReboundSpeed,1,656.4263707571802
reboundSpeed95,1,1181.0499999999995
axleTravelTotal,1,64906.85249999021
totalTravelComp,1,17443.96499999998
totalTravelReb,1,25636.811250000006
histogramLPS,42,20,160.0,0,0,0,0,0,5,723,5247,11243,9018,7353,7342,5386,5125,3923,3227,2233,1570,891,478,0,0,0,0,0,5,723,5247,11243,9018,7353,7342,5386,5125,3923,3227,2233,1570,891,478
gforceTotalComp,1,14438.088861281101
gforceTotalReb,1,23068.340290922577
gforceMin,1,-16.0
gforceMax,1,13.78
gforceAbsTotal,1,69989.03534523376
gforceTotalFlat,1,32482.60619303008
travelToForceRatioComp,1,1.2081907216113479
travelToForceRatioReb,1,1.111341818556757
travelToForceRatioAll,1,0.9273860138209542
vibrationCompression,1,1.6371571449462639
vibrationRebound,1,1.4508390120077093
vibrationOverall,1,1.0922134105061447
forceBreakdownTable,9,0.0,1.1520775263353586,0.7085856217124543,21.40751772073734,90.14090058327044,63.6820050835531,78.59248227926267,8.707021890394211,35.60940929473445
invalidSamples,1,308
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
15995,16010,60.87,118.01,2.13,1688.45,1802.00,79.40
16073,16102,94.40,135.12,1.19,617.05,656.50,118.10
16168,16182,65.56,94.39,1.95,830.65,893.50,84.89
16269,16281,89.18,123.75,3.69,865.85,954.50,96.21
16347,16359,75.39,98.65,1.36,696.85,757.00,81.24
16432,16444,60.44,125.08,2.72,1869.10,1921.00,94.56
16460,16477,107.83,135.31,4.27,942.45,1015.50,121.73
16541,16575,61.22,125.12,1.96,827.65,851.50,76.75
16588,16599,124.33,137.88,4.06,399.20,417.50,129.21
16635,16647,63.12,74.68,0.69,352.20,366.00,69.27
16652,16668,74.64,89.57,0.72,293.95,310.00,85.02
16685,16723,78.12,117.05,0.58,499.40,510.50,92.96
16786,16820,78.99,105.45,0.53,242.05,251.50,82.78
16873,16887,66.78,91.26,0.81,507.05,515.00,74.83
16901,16925,64.55,107.61,0.90,651.45,676.50,98.19
17100,17120,64.88,126.22,1.78,953.55,972.00,99.24
17138,17149,92.33,106.05,1.00,429.50,456.50,100.93
17239,17258,114.26,157.99,3.64,936.95,996.50,130.73
17366,17392,62.53,88.75,0.45,414.15,427.50,69.31
17415,17436,91.27,106.48,0.49,246.15,256.50,102.31
17507,17523,66.32,124.96,1.89,1170.50,1196.00,85.58
17600,17614,63.63,90.62,0.96,744.80,791.00,72.45
17688,17707,84.07,118.28,2.35,879.80,930.50,94.66
17768,17782,61.89,83.48,1.45,794.10,844.50,71.68
17785,17817,83.44,138.70,1.44,1064.50,1130.50,118.17
17882,17895,54.87,67.92,0.70,581.50,644.50,60.79
17939,17951,57.13,124.56,2.13,2532.60,2707.50,89.10
18060,18074,57.45,107.85,1.89,1541.65,1675.00,73.87
18078,18100,105.19,137.11,2.47,546.60,579.00,131.22
18148,18176,59.73,100.96,1.05,621.85,652.00,68.73
18245,18258,61.60,118.22,2.86,1713.55,1850.50,81.28
18279,18292,90.86,133.02,3.14,949.00,986.50,101.78
18383,18394,96.83,132.09,3.46,1186.70,1269.50,110.42
18476,18489,86.88,108.53,1.02,643.70,666.50,98.29
18626,18642,56.55,126.88,1.69,1835.00,1989.50,74.39
18648,18661,125.58,143.69,3.57,556.75,617.50,133.11
18775,18786,77.52,116.44,2.38,1375.00,1480.00,90.40
18848,18865,103.81,156.66,1.14,1274.85,1299.00,137.31
18967,18984,67.32,90.29,1.13,656.15,690.50,75.45
19010,19023,60.86,106.70,2.42,1666.60,1808.50,79.01
19102,19128,113.76,138.10,1.59,420.10,439.00,121.60
19153,19166,113.83,128.47,1.15,426.40,442.00,122.19
19224,19235,62.97,74.18,0.94,272.50,302.50,71.91
19241,19256,70.66,106.12,1.36,992.15,1028.00,91.41
19297,19310,107.74,122.82,0.55,466.50,481.50,114.71
19311,19327,122.70,135.19,1.22,331.30,359.50,126.57
19386,19401,108.16,127.90,1.48,408.90,420.00,116.90
19556,19568,72.28,130.70,2.65,1850.30,1992.50,94.91
19649,19666,89.16,130.66,1.72,755.60,779.00,117.47
19724,19738,61.75,87.27,2.37,743.00,771.50,74.47
19769,19796,88.43,147.44,1.35,949.30,991.00,135.66
19849,19863,99.55,122.62,0.88,690.55,745.00,106.50
19933,19946,118.39,156.89,2.70,734.45,752.00,132.08
20036,20046,63.75,78.49,0.33,572.55,615.00,71.16
20047,20074,78.48,103.21,0.91,365.80,376.00,92.09
20078,20088,102.70,115.27,0.51,483.15,517.50,109.96
20141,20171,99.55,140.28,1.73,675.00,708.00,122.26
20400,20420,74.73,89.31,0.25,269.25,279.00,85.92
20488,20516,82.13,108.98,0.59,514.35,529.50,102.07
20566,20589,84.62,107.18,0.75,432.20,449.00,92.36
20651,20668,78.68,97.33,0.73,580.80,622.50,89.99
20740,20764,75.04,115.25,0.82,779.60,803.00,86.19
20827,20840,72.33,91.13,0.35,418.05,424.50,79.97
20895,20931,76.15,116.98,0.76,511.00,539.50,111.15
21010,21024,61.06,84.92,1.21,697.50,727.50,72.59
21029,21045,83.38,109.98,0.92,485.00,515.00,88.92
21072,21084,85.70,112.84,2.05,760.90,796.00,95.56
21158,21170,85.34,97.29,1.56,293.60,309.50,94.54
21192,21206,83.06,109.00,1.21,806.10,859.50,92.31
21216,21228,96.83,114.91,2.50,398.05,407.50,109.27
21233,21245,112.36,142.78,2.31,1010.40,1074.00,126.18
21270,21280,69.09,93.91,3.02,855.15,918.00,77.15
21299,21313,58.62,73.21,0.76,407.45,432.50,68.48
21508,21521,68.27,117.84,3.88,1675.10,1853.00,82.38
21550,21566,75.98,104.02,1.42,707.75,771.50,84.39
21589,21603,64.45,125.17,3.24,1778.70,1921.50,84.66
21744,21754,62.94,119.91,3.67,2174.55,2322.00,89.50
21826,21858,84.05,115.25,1.14,514.05,525.00,99.46
22009,22019,84.39,103.08,1.06,799.50,867.00,93.95
22022,22034,101.83,143.07,1.96,1177.50,1240.50,130.36
22113,22136,66.28,119.86,2.53,1659.35,1799.00,82.10
22139,22175,119.62,145.79,1.68,372.35,398.00,126.25
22341,22369,84.84,113.84,0.50,374.05,383.50,108.38
22423,22436,103.01,119.84,1.47,462.30,478.50,113.15
22457,22481,110.47,140.74,1.27,568.10,627.50,116.41
22681,22706,122.30,132.35,0.32,176.75,183.50,126.14
24908,24923,79.15,137.87,2.48,1650.60,1770.00,100.17
24940,24951,117.91,135.05,2.80,597.20,647.00,128.28
25151,25171,78.10,115.49,0.77,657.00,661.50,95.20
25200,25210,94.82,116.24,1.22,787.85,834.50,105.85
25229,25241,102.16,113.92,2.45,495.05,542.00,108.93
25281,25301,108.70,123.33,1.20,455.35,481.00,114.80
25341,25371,125.27,148.02,1.11,316.25,320.00,137.30
25581,25593,85.43,103.40,0.33,463.70,483.50,97.77
25631,25669,76.26,110.08,0.75,398.75,405.50,102.78
25714,25733,81.83,106.10,0.60,441.15,451.50,94.69
25786,25799,68.85,93.76,1.59,800.95,839.50,80.91
25858,25868,95.02,111.88,2.58,594.00,622.50,103.26
25927,25937,99.22,112.85,1.67,551.45,600.50,108.24
26049,26060,63.69,102.04,1.91,1123.85,1176.50,76.76
26155,26165,64.45,92.46,3.35,981.60,1069.50,73.52
26224,26248,64.84,128.75,2.68,1860.90,1968.00,89.81
26272,26283,79.06,103.58,3.15,691.40,732.50,85.83
26367,26378,103.59,116.29,2.57,375.20,398.00,111.25
26439,26464,117.45,131.04,1.24,276.35,297.50,128.08
26506,26516,63.40,83.61,1.57,769.25,822.50,72.52
26523,26535,77.50,93.98,0.74,450.75,462.00,85.07
26564,26586,90.78,107.61,0.75,318.80,324.50,101.50
26734,26748,67.16,78.37,0.40,447.45,490.50,73.47
26750,26769,77.98,99.00,0.52,390.90,424.50,95.29
26802,26815,78.74,92.83,0.98,509.00,566.00,82.45
26840,26862,77.05,103.51,0.77,697.35,754.50,92.92
26867,26884,100.83,131.66,1.03,915.60,969.00,116.81
26905,26915,124.10,142.44,2.66,656.50,691.00,133.65
26942,26953,103.86,127.64,2.02,711.70,730.00,116.17
