section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,92759
analyzeCount,1,92760
axleTravelRatio,1,-28.659669822151297
compressionSpeedRatio,1,-36.41047719142379
reboundSpeedRatio,1,-35.65105583788552
section,forkResults
movingCount,1,92758
filterRatio,1,55
timeComp,1,17845
timeReb,1,33810
axleMin,1,22.955000000000002
axleMax,1,147.8675
axleAvg,1,66.27995976872064
axleMovingAvg,1,66.51453047972208
segments,1,2
maxCompressionSpeed,1,3763.15
avgCompressionSpeed,1,912.9585282651066
compressionSpeed95,1,2392.4000000000005
maxReboundSpeed,1,1530.9999999999998
avgReboundSpeed,1,570.6540884718514
reboundSpeed95,1,1044.6499999999994
axleTravelTotal,1,114248.88249999213
totalTravelComp,1,34765.885000000046
totalTravelReb,1,47162.10000000007
histogramLPS,42,20,160.0,0,0,63,3527,4154,8916,13373,16350,13688,10673,7754,5876,3629,2590,1245,660,177,61,9,0,0,0,63,3527,4154,8916,13371,16352,13688,10673,7754,5876,3629,2590,1245,660,177,61,9,0
gforceTotalComp,1,30197.188331446185
gforceTotalReb,1,47690.271328697636
gforceMin,1,-16.0
gforceMax,1,12.24
gforceAbsTotal,1,135131.36619160196
gforceTotalFlat,1,57243.90653145814
travelToForceRatioComp,1,1.1512954324888651
travelToForceRatioReb,1,0.9889249670009795
travelToForceRatioAll,1,0.8454653106814544
vibrationCompression,1,1.692193237962801
vibrationRebound,1,1.4105374542649405
vibrationOverall,1,1.456784887792173
forceBreakdownTable,9,1.5371234921095889,66.36839677265513,41.23312881601019,74.870462809555,33.284796088930044,49.4076766570077,23.592413698335413,0.34680713841482164,9.3591945269821
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
11136,11146,29.03,72.47,2.47,1532.30,1604.00,50.46
11255,11276,40.91,70.02,0.50,587.25,598.50,59.79
11281,11301,67.59,78.15,0.68,283.45,302.50,73.33
11440,11453,54.03,103.64,2.59,1527.15,1584.00,79.93
11566,11596,45.64,68.95,0.45,301.80,307.50,50.05
11676,11688,47.87,84.13,1.60,1139.45,1199.00,63.00
11744,11754,39.93,87.22,1.84,1564.80,1630.50,59.09
11786,11807,34.93,102.44,2.59,1389.65,1460.00,55.23
11857,11882,73.22,85.02,1.29,213.55,224.50,78.20
11973,11988,27.14,85.79,2.74,1770.05,1911.50,50.49
12002,12017,48.43,76.88,2.42,714.20,725.00,60.16
12021,12035,76.15,92.89,2.08,580.80,630.00,81.69
12077,12092,30.87,83.72,1.64,1383.80,1425.50,61.02
12101,12111,69.16,87.88,3.61,603.85,632.50,78.62
12157,12167,32.40,100.37,3.71,2548.15,2768.50,57.47
12183,12196,58.79,84.10,3.60,595.00,608.50,66.89
12290,12305,52.19,63.64,0.65,430.35,459.00,57.48
12320,12347,56.82,81.17,0.61,398.25,424.50,61.62
12394,12435,40.86,70.47,0.55,270.40,278.50,49.74
12481,12521,43.74,67.99,0.25,263.70,280.50,64.18
12595,12609,56.41,72.11,0.62,410.10,424.50,63.25
12661,12686,47.45,71.41,0.50,431.55,454.50,61.50
12739,12767,47.73,71.81,0.42,434.35,461.50,60.54
12803,12839,41.50,76.30,0.37,384.55,419.50,72.82
12892,12919,49.83,66.37,0.32,245.90,254.00,53.46
12961,12985,48.09,63.75,0.43,259.35,273.00,55.83
13038,13054,39.67,56.77,1.11,529.75,559.00,46.47
13064,13075,44.97,100.51,4.41,2016.60,2136.00,72.16
13112,13135,56.55,89.12,1.34,729.70,773.50,65.38
13264,13278,50.99,68.59,0.96,489.35,507.50,60.66
13345,13356,57.39,75.02,0.85,641.40,673.50,67.66
13377,13394,67.56,97.57,1.54,742.65,781.50,76.32
13464,13487,26.80,78.48,1.53,1145.65,1216.00,38.58
13576,13596,51.92,66.32,0.47,292.05,300.00,59.50
13704,13717,33.57,68.71,1.67,1034.00,1094.00,43.90
13719,13741,68.36,83.64,0.75,254.30,273.50,72.71
13765,13788,62.69,76.36,1.07,367.85,398.00,71.91
13866,13882,43.87,62.20,0.62,415.95,432.00,50.46
13890,13901,62.30,74.09,0.73,402.70,422.50,68.93
14024,14035,38.32,55.96,1.00,561.55,581.50,47.98
14040,14057,50.62,80.62,1.29,709.85,740.00,60.03
14164,14178,49.96,69.95,1.83,449.50,464.50,60.25
14237,14256,49.74,87.71,0.77,647.15,678.50,59.54
14431,14442,33.69,50.17,1.94,464.20,488.50,39.05
14447,14468,46.45,61.41,0.89,365.10,393.00,50.19
14521,14545,42.70,63.62,0.65,335.50,353.50,46.81
14589,14604,48.07,77.18,1.71,690.95,705.50,60.63
14629,14666,44.67,87.59,1.43,604.50,627.00,67.37
14852,14893,56.83,87.07,0.67,395.20,415.00,65.94
15042,15070,49.93,81.07,0.55,517.45,532.00,71.16
15141,15157,41.03,61.15,0.42,429.10,446.50,55.41
15182,15206,41.42,90.58,1.77,1032.15,1069.50,56.01
15265,15276,47.20,58.27,0.61,376.75,400.00,54.16
15286,15300,45.95,85.07,2.33,986.85,1035.00,56.85
15344,15355,45.40,56.07,0.44,335.70,354.00,52.65
15362,15373,48.08,73.34,3.02,860.90,903.50,58.14
15658,15668,50.13,75.70,2.32,909.35,966.50,59.67
15770,15783,66.20,86.56,1.41,628.60,659.50,77.72
15834,15856,51.04,66.41,1.47,427.65,466.50,62.25
15914,15925,61.02,99.24,2.98,1385.70,1501.50,76.04
15989,16003,24.74,115.94,3.34,2857.50,3042.00,57.83
16084,16107,43.95,79.81,1.04,765.50,798.50,66.36
16168,16185,49.30,61.44,0.46,203.40,210.00,57.79
16302,16315,46.09,68.55,1.61,539.60,561.50,52.84
16473,16487,55.97,68.16,2.34,370.60,395.50,60.30
16610,16623,60.74,73.19,1.79,443.00,483.50,65.73
16751,16764,58.86,75.21,0.56,411.05,417.50,66.67
16847,16859,27.31,45.47,2.51,746.65,812.50,36.10
16902,16934,66.34,98.56,1.49,319.40,324.50,93.01
17026,17044,58.39,81.13,0.92,584.80,632.50,66.32
17111,17123,46.38,68.33,0.95,778.55,833.00,56.58
17170,17181,43.57,70.58,1.15,880.55,920.00,56.99
17220,17233,39.03,72.19,1.22,907.20,933.00,55.24
17234,17247,72.17,96.92,1.75,780.10,835.00,81.85
17264,17278,74.26,104.41,2.29,830.25,856.50,91.43
17456,17479,46.81,61.13,0.82,234.50,242.00,56.17
17484,17502,59.66,73.98,0.89,292.10,320.00,62.23
17546,17574,41.33,59.46,0.95,329.15,339.50,46.98
17575,17590,59.45,78.07,0.59,423.70,431.50,66.66
17657,17680,51.80,73.26,0.55,307.15,310.00,67.06
17717,17727,57.14,82.64,1.69,808.05,844.50,66.57
17742,17754,53.45,77.06,1.34,518.55,564.00,72.48
17764,17774,57.36,90.67,3.41,1058.90,1125.50,67.50
17840,17859,33.05,147.87,4.13,2663.05,2851.00,66.82
17944,17955,32.83,76.46,2.85,1585.10,1670.00,54.67
18009,18019,47.89,96.73,4.20,1835.35,1972.00,68.39
18190,18205,54.05,80.79,0.98,577.65,583.50,65.02
