section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,45751
analyzeCount,1,45752
axleTravelRatio,1,-27.177553582768176
compressionSpeedRatio,1,-25.79005396919984
reboundSpeedRatio,1,-36.83430187457246
section,forkResults
movingCount,1,45751
filterRatio,1,59
timeComp,1,9077
timeReb,1,18353
axleMin,1,22.624999999999996
axleMax,1,158.5875
axleAvg,1,65.55702718139803
axleMovingAvg,1,65.79444589815266
segments,1,1
maxCompressionSpeed,1,3724.85
avgCompressionSpeed,1,991.7670020120735
compressionSpeed95,1,2352.400000000001
maxReboundSpeed,1,1532.3000000000006
avgReboundSpeed,1,598.2841623036653
reboundSpeed95,1,1032.7500000000005
axleTravelTotal,1,61144.189999997216
totalTravelComp,1,18939.200000000004
totalTravelReb,1,26502.83749999998
histogramLPS,42,20,160.0,0,0,20,3431,4064,3474,6617,5258,5379,5262,4064,3034,2346,1535,736,361,87,42,23,6,0,0,20,3430,4065,3474,6617,5258,5379,5262,4064,3034,2346,1535,736,361,87,42,23,6
gforceTotalComp,1,16307.149468068805
gforceTotalReb,1,26560.593012964877
gforceMin,1,-16.0
gforceMax,1,11.12
gforceAbsTotal,1,69640.18208618341
gforceTotalFlat,1,26772.43960514973
travelToForceRatioComp,1,1.1614046978035644
travelToForceRatioReb,1,0.9978255186946803
travelToForceRatioAll,1,0.8780015813905834
vibrationCompression,1,1.7965351402521543
vibrationRebound,1,1.4472071602988545
vibrationOverall,1,1.5221232314693
forceBreakdownTable,9,1.940574848128547,69.32913005776649,43.69411457434152,72.8638022444535,30.35533484757935,46.525813892657375,25.19562290741796,0.31553509465414353,9.78007153300109
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
7597,7635,36.89,82.85,0.84,716.05,754.00,46.29
7665,7700,34.87,62.91,0.49,430.30,442.00,49.47
7780,7796,60.11,79.29,1.16,492.45,510.00,67.39
7855,7865,47.59,64.39,0.77,662.20,710.50,55.02
7868,7879,62.45,78.90,1.94,452.50,461.50,70.21
7937,7952,32.25,123.38,4.42,3184.80,3426.00,62.37
7974,7984,72.81,84.87,1.18,446.25,478.50,77.56
8019,8039,30.54,86.48,1.64,1850.70,1984.50,49.00
8054,8066,77.62,94.66,1.13,574.00,613.00,83.62
8173,8199,65.26,115.32,2.20,847.95,891.00,78.26
8252,8266,42.70,54.67,0.54,316.45,344.50,46.65
8275,8298,53.08,88.05,1.22,784.60,815.50,64.49
8342,8369,46.18,86.52,0.77,613.85,639.50,78.53
8467,8486,29.09,99.59,2.27,1871.45,1977.50,52.50
8507,8517,91.55,104.24,2.05,464.20,488.50,98.79
8554,8564,30.06,48.25,1.71,691.85,744.50,37.27
8585,8616,54.81,101.72,1.73,515.25,544.50,94.20
8670,8684,42.53,54.58,0.85,346.55,366.50,46.61
8730,8740,32.10,109.61,3.29,2683.50,2812.50,73.53
8845,8885,44.92,64.78,0.67,337.25,356.00,53.61
9024,9036,56.29,66.66,0.92,308.30,317.00,61.75
9083,9093,51.70,77.41,4.12,941.90,1005.50,64.09
9156,9182,28.18,99.97,2.55,1994.55,2163.00,50.58
9197,9207,60.65,74.28,1.05,398.55,405.00,68.96
9280,9302,28.94,84.50,1.14,1079.55,1128.00,62.12
9421,9447,37.37,64.81,0.96,447.40,461.50,44.77
9455,9465,61.95,81.90,3.38,782.65,839.50,70.75
9490,9511,43.69,104.38,3.19,1953.65,2114.00,61.28
9601,9626,44.90,91.59,1.01,697.05,715.50,72.38
9696,9709,34.76,48.93,0.66,366.85,388.00,39.62
9713,9725,47.63,61.49,1.19,381.55,395.50,56.82
9740,9762,48.04,73.84,0.37,370.90,383.50,53.81
9803,9829,33.62,53.79,0.92,292.95,307.50,49.74
9857,9897,43.66,77.78,0.55,576.80,596.00,64.36
9952,9968,60.53,79.23,0.87,475.25,518.00,65.76
10022,10055,46.21,110.19,2.38,998.20,1069.00,58.58
10131,10143,28.71,59.12,1.81,1181.95,1270.00,43.63
10153,10165,41.24,101.68,4.34,1677.10,1706.50,72.13
10248,10269,43.20,92.02,2.73,1272.30,1377.00,54.69
10276,10286,89.88,100.61,3.83,394.35,420.00,94.48
10423,10434,23.86,54.12,1.94,1085.35,1150.00,38.21
10456,10467,39.75,78.78,5.67,1488.90,1660.50,53.35
10527,10542,27.13,90.38,2.72,2030.75,2163.50,55.01
10556,10572,85.83,100.13,2.63,331.80,349.50,91.12
10615,10626,35.44,46.76,1.48,393.45,412.50,41.63
10645,10676,55.65,96.21,1.44,554.85,583.50,88.64
10733,10746,28.27,55.20,1.51,781.70,806.00,43.94
10761,10777,54.74,77.20,0.71,492.15,532.50,70.31
11087,11118,43.88,60.39,0.63,216.00,234.00,48.37
11172,11200,50.23,62.80,0.28,266.00,269.00,57.24
11245,11277,45.34,78.84,0.63,439.95,459.00,65.86
11326,11346,51.88,90.45,1.65,616.25,623.00,67.78
11417,11445,35.54,53.44,0.67,431.55,454.50,41.36
11455,11483,53.45,86.65,0.59,646.70,666.50,67.08
11535,11557,38.20,62.69,0.75,397.05,405.00,52.59
11588,11603,28.84,51.75,0.42,614.40,649.50,42.56
11689,11708,27.81,78.07,2.12,1640.80,1745.50,51.15
11719,11744,63.15,87.76,1.34,405.10,445.00,66.57
11823,11834,37.11,72.73,3.36,1333.50,1455.00,49.62
11871,11902,46.72,70.84,1.02,353.15,374.00,57.45
11952,11966,74.35,94.97,2.50,741.20,822.50,84.56
12026,12049,28.71,44.91,0.59,295.70,320.00,36.22
12054,12088,43.98,81.44,1.14,649.75,668.50,66.89
12115,12126,51.25,77.98,1.99,763.65,781.50,63.59
12221,12231,27.47,75.16,3.80,1806.05,1911.50,53.86
12256,12289,54.21,103.65,1.92,819.45,864.00,68.91
12292,12302,103.65,115.86,2.89,495.60,532.50,110.05
12367,12377,32.65,47.59,1.11,453.85,481.00,37.57
12387,12411,44.65,81.57,1.78,586.90,625.00,71.59
12489,12510,53.71,90.16,2.73,617.20,629.50,64.68
12571,12593,36.43,99.86,3.42,1386.40,1457.50,56.50
12666,12698,31.32,86.45,1.20,770.50,793.00,42.47
12779,12793,29.56,88.32,2.06,1561.40,1614.50,53.47
12803,12813,87.09,100.82,2.91,544.70,593.00,92.60
12888,12909,38.88,112.86,2.26,1263.15,1299.00,63.65
12958,12976,28.15,42.70,0.34,359.45,395.00,39.15
12996,13012,32.38,102.90,1.64,2276.50,2458.00,61.41
13066,13087,31.81,54.25,1.05,478.10,510.50,49.48
13092,13115,51.87,107.12,1.90,1230.50,1296.50,66.68
13176,13187,28.16,45.63,1.27,552.55,566.50,35.76
13210,13223,60.17,99.81,3.47,1398.85,1516.00,75.05
13232,13253,99.92,110.69,1.61,332.40,358.50,104.03
13321,13365,29.55,103.90,1.51,1072.35,1170.00,41.32
13466,13489,57.19,102.95,2.37,798.25,827.50,70.71
13552,13585,38.25,82.95,1.07,602.50,664.00,51.68
13647,13657,27.38,61.05,2.88,1397.40,1501.50,46.18
13678,13688,47.21,85.08,3.66,1600.35,1750.50,64.47
13754,13767,75.84,97.79,1.32,635.05,676.00,83.48
13917,13937,24.69,95.62,2.14,2070.65,2226.50,44.76
13941,13957,95.39,105.66,1.49,309.85,361.00,98.55
14003,14025,50.62,96.30,1.34,928.70,981.50,63.70
14063,14092,60.26,121.94,1.56,944.15,981.50,108.72
14159,14175,27.55,56.84,1.44,565.30,605.50,34.26
14213,14239,52.05,96.73,1.02,865.45,889.00,68.13
14299,14317,28.43,54.31,2.50,651.45,711.00,34.48
14326,14339,46.54,99.15,2.18,1502.10,1594.50,65.70
14458,14469,30.11,80.30,4.23,1921.70,2070.50,52.71
14575,14598,41.62,92.27,1.68,817.95,840.00,53.69
14685,14699,88.40,117.30,1.05,731.10,754.50,99.55
14742,14753,32.86,46.38,1.68,396.90,408.00,39.61
14769,14790,54.77,83.55,0.99,596.05,620.50,64.30
14859,14873,36.01,52.89,1.58,407.75,444.50,40.84
14894,14905,52.02,68.72,0.62,474.70,496.00,62.93
14908,14918,67.84,84.47,1.97,568.30,613.00,74.44
15023,15033,24.76,104.34,3.54,2882.75,3074.00,58.42
15055,15071,95.45,109.20,2.67,427.35,486.00,99.86
15099,15116,66.69,79.33,0.54,258.00,264.00,75.30
15117,15132,79.33,118.83,2.93,1158.05,1196.00,101.31
15260,15292,25.72,106.56,2.81,1080.35,1140.50,39.48
15350,15361,28.82,59.48,1.57,1173.35,1265.00,43.95
15366,15407,58.88,107.30,1.61,912.70,959.50,89.96
15479,15500,28.30,100.33,3.07,2507.40,2668.50,63.48
15515,15526,86.40,118.01,2.98,1051.60,1103.50,98.32
15666,15678,24.94,89.67,3.53,2532.40,2764.00,49.43
15686,15698,82.97,124.02,2.18,1151.70,1198.50,105.76
15711,15730,65.95,94.47,2.78,591.15,661.50,71.46
15747,15761,68.51,93.11,1.50,698.00,732.50,77.91
15854,15874,51.32,81.13,1.69,568.95,615.00,59.49
15931,15955,68.90,92.79,0.94,528.85,551.50,85.56
16033,16044,25.79,64.14,3.80,1428.70,1543.00,40.74
16060,16080,57.84,91.78,1.84,685.35,739.50,65.40
16185,16201,74.49,121.37,1.78,960.40,998.50,89.22
16257,16294,38.39,108.55,1.54,1224.50,1299.50,81.39
16393,16408,28.94,69.40,1.60,921.45,952.50,41.06
16487,16503,55.02,79.06,0.54,550.80,564.00,68.48
16579,16589,41.45,63.15,1.86,756.90,790.50,54.08
16618,16629,53.03,73.47,1.36,694.60,749.50,60.02
16732,16744,65.52,87.73,4.16,870.60,964.50,72.14
16762,16772,62.65,84.54,4.59,740.55,813.00,77.81
16807,16842,43.30,79.35,0.85,517.70,534.50,57.73
16948,16968,69.56,97.58,1.56,526.95,544.50,88.10
17026,17046,29.79,67.16,1.59,1029.15,1144.50,56.59
17048,17061,65.64,102.84,2.98,1021.70,1133.00,76.62
17235,17249,39.34,89.61,1.64,1609.80,1684.50,63.75
17354,17375,30.51,78.42,1.60,1250.10,1314.00,48.28
17455,17484,31.14,75.91,1.17,573.00,603.00,37.88
17587,17601,45.09,65.31,1.04,643.05,681.00,52.68
17714,17738,60.83,74.30,2.14,298.15,337.00,63.93
17790,17805,27.32,112.62,3.19,2587.55,2724.50,59.22
17882,17893,47.04,73.82,3.39,687.50,717.50,55.74
17994,18010,49.27,89.42,3.19,1298.65,1399.00,71.22
18035,18056,41.57,108.00,4.00,1315.50,1411.50,96.25
18091,18101,31.10,63.06,4.80,1066.55,1103.00,47.86
18113,18129,46.82,81.11,2.98,1016.20,1088.50,61.19
18153,18181,70.97,109.51,1.92,996.40,1037.50,89.97
18251,18284,29.75,63.00,1.24,446.00,476.00,45.08
18305,18329,45.05,91.12,0.83,970.35,996.00,71.69
18371,18398,43.68,77.66,0.53,455.00,464.00,70.61
18439,18461,40.50,76.11,0.69,572.80,586.00,62.74
18510,18537,52.32,72.69,0.62,296.00,300.50,60.67
18579,18610,48.45,78.14,0.63,355.95,373.50,72.69
18701,18723,46.99,62.80,0.53,443.40,486.00,57.28
18814,18835,26.07,80.41,1.83,1755.10,1870.00,48.93
18853,18881,53.38,105.80,1.79,716.55,735.00,82.18
18927,18971,32.70,93.82,0.74,1045.15,1084.00,67.16
19041,19060,60.82,106.71,1.61,915.90,957.00,87.09
19146,19160,30.31,67.66,1.28,808.20,876.00,38.80
19322,19337,64.83,74.96,1.22,289.65,319.50,72.24
19429,19440,40.34,82.19,3.03,1392.40,1489.00,54.89
19464,19480,52.62,78.20,2.33,691.15,764.50,69.50
19543,19555,28.74,74.92,5.20,1974.00,2155.50,51.16
19562,19575,51.57,103.44,2.75,2068.50,2280.00,68.38
19641,19652,38.75,87.08,5.42,2087.95,2305.00,59.65
19673,19689,35.65,76.66,1.18,1010.65,1103.50,44.56
19776,19793,52.12,92.85,1.94,949.60,1003.00,62.78
19825,19839,31.17,60.98,2.29,740.85,793.50,39.27
19867,19882,30.40,106.99,2.42,2399.40,2521.50,63.94
20060,20079,53.66,109.41,4.23,2030.00,2163.50,77.66
20152,20165,56.49,70.06,0.94,340.95,361.50,65.74
20167,20183,70.01,108.78,1.11,858.35,884.00,85.27
20295,20311,23.75,104.33,3.00,2317.90,2488.00,52.50
20323,20343,82.72,127.47,3.93,958.45,979.00,108.98
20409,20433,36.99,91.14,1.61,1309.25,1367.00,64.96
20504,20524,44.95,71.55,1.30,542.45,561.50,60.26
20533,20545,63.72,113.95,3.24,1638.75,1707.00,89.08
20706,20717,45.43,87.53,2.54,1509.00,1609.50,61.40
20753,20764,44.61,64.86,2.70,566.65,598.00,50.00
20877,20894,24.71,90.27,2.01,2091.80,2234.00,49.90
20904,20915,77.50,115.02,3.59,1233.00,1291.50,92.45
21214,21234,27.37,107.62,2.06,2560.80,2761.50,53.87
21258,21273,65.78,96.65,1.54,649.25,678.50,85.88
21351,21397,40.66,95.56,0.80,833.10,891.00,85.52
21447,21466,62.24,78.00,2.20,333.90,339.00,67.37
21502,21515,85.58,95.91,1.41,328.95,357.00,92.01
21612,21631,37.25,70.37,1.68,787.45,835.00,48.32
21670,21690,40.17,72.84,1.83,804.25,866.50,48.01
21691,21704,72.84,89.25,1.87,581.30,620.00,80.26
21742,21773,62.51,101.46,0.95,680.05,698.50,92.03
21918,21933,90.60,120.61,1.79,1030.50,1104.00,103.69
22001,22019,53.81,80.96,1.45,473.85,498.00,75.39
22076,22088,35.59,85.58,2.98,1333.35,1413.00,50.15
22186,22203,55.06,75.28,2.13,590.40,622.50,67.95
22363,22374,55.02,74.50,4.33,499.20,552.00,70.12
22377,22388,73.78,83.97,2.28,461.60,515.00,79.53
22480,22496,78.60,89.45,2.02,326.80,376.00,86.44
22629,22641,25.13,84.72,1.68,1984.50,2136.00,44.37
22663,22678,78.79,103.40,2.95,716.65,788.50,86.76
22784,22809,38.76,78.89,1.55,756.90,793.50,53.11
22861,22905,41.91,82.20,0.64,465.35,480.50,66.04
23003,23044,39.18,76.24,0.41,367.20,378.00,59.54
23116,23136,36.35,56.38,0.76,481.40,515.00,51.05
23172,23183,29.44,79.53,3.46,1726.65,1813.50,53.00
23259,23270,61.87,74.86,1.90,413.30,432.50,66.96
23373,23383,24.14,106.02,2.22,3034.00,3247.00,53.60
23402,23416,106.52,145.37,2.93,948.40,1045.00,116.51
23488,23503,47.94,74.94,2.18,622.60,676.00,68.84
